"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"3PLAND","EQ","22-Jun-2018","         13.60","         13.90","         14.00","         13.40","         14.00","         13.55","         13.99","       5335","               74610.75","         10","       5305","         99.44"
"3PLAND","EQ","25-Jun-2018","         13.55","         14.50","         14.50","         13.30","         13.35","         13.35","         13.36","        760","               10151.90","          9","        733","         96.45"
"3PLAND","EQ","26-Jun-2018","         13.35","         13.90","         14.55","         13.25","         13.25","         13.25","         14.38","       2003","               28794.35","          7","       2000","         99.85"
"3PLAND","EQ","27-Jun-2018","         13.25","         13.00","         14.25","         12.05","         14.00","         13.95","         13.36","       6789","               90712.70","         39","       5230","         77.04"
"3PLAND","EQ","28-Jun-2018","         13.95","         14.00","         14.45","         12.00","         14.45","         13.90","         13.75","        935","               12852.30","         25","        766","         81.93"
"3PLAND","EQ","29-Jun-2018","         13.90","         14.40","         14.40","         13.05","         13.30","         13.35","         13.81","       3084","               42584.60","         76","       2240","         72.63"
"3PLAND","EQ","02-Jul-2018","         13.35","         13.50","         13.50","         13.30","         13.30","         13.30","         13.50","        808","               10907.10","          7","        803","         99.38"
"3PLAND","EQ","03-Jul-2018","         13.30","         14.40","         14.40","         13.30","         14.00","         14.00","         13.72","       2169","               29751.50","         11","       2169","        100.00"
"3PLAND","EQ","04-Jul-2018","         14.00","         14.40","         14.55","         12.55","         14.50","         13.75","         14.33","       6954","               99666.40","         49","       6410","         92.18"
"3PLAND","EQ","05-Jul-2018","         13.75","         14.50","         14.60","         13.55","         13.55","         14.35","         14.40","       7494","              107935.90","         18","       7023","         93.71"
"3PLAND","EQ","06-Jul-2018","         14.35","         13.25","         15.70","         13.25","         14.45","         14.45","         14.03","       1850","               25957.10","         14","       1595","         86.22"
"3PLAND","EQ","09-Jul-2018","         14.45","         14.40","         15.10","         13.65","         13.65","         14.45","         14.84","       3422","               50777.10","          9","       3401","         99.39"
"3PLAND","EQ","10-Jul-2018","         14.45","         15.25","         15.25","         14.25","         14.30","         14.90","         14.87","       4594","               68319.10","         20","       4592","         99.96"
"3PLAND","EQ","11-Jul-2018","         14.90","         13.50","         15.25","         13.50","         13.80","         13.80","         14.67","         92","                1349.70","          8","         86","         93.48"
"3PLAND","EQ","12-Jul-2018","         13.80","         15.10","         15.10","         14.10","         14.60","         14.45","         14.21","       1121","               15931.05","         11","       1000","         89.21"
"3PLAND","EQ","13-Jul-2018","         14.45","         12.50","         14.70","         12.50","         13.55","         13.55","         13.92","        760","               10579.35","          9","        559","         73.55"
"3PLAND","EQ","16-Jul-2018","         13.55","         15.00","         15.10","         13.55","         14.70","         14.70","         14.34","       1115","               15986.75","         13","       1055","         94.62"
"3PLAND","EQ","17-Jul-2018","         14.70","         15.00","         15.00","         14.00","         14.00","         14.00","         14.00","       1334","               18682.00","          6","       1328","         99.55"
"3PLAND","EQ","18-Jul-2018","         14.00","         13.55","         13.55","         13.50","         13.50","         13.50","         13.51","        514","                6944.00","          8","        514","        100.00"
"3PLAND","EQ","19-Jul-2018","         13.50","         12.80","         13.95","         12.80","         13.45","         13.45","         13.00","       6063","               78793.90","         19","       5983","         98.68"
"3PLAND","EQ","20-Jul-2018","         13.45","         15.00","         15.00","         12.65","         13.10","         13.15","         13.40","       2517","               33735.60","         28","       1503","         59.71"
"3PLAND","EQ","23-Jul-2018","         13.15","         15.45","         15.45","         11.00","         13.85","         13.85","         14.20","       3418","               48534.10","         24","       3225","         94.35"
"3PLAND","EQ","24-Jul-2018","         13.85","         14.70","         14.70","         13.20","         13.80","         13.80","         13.84","       1529","               21155.00","         23","       1254","         82.01"
"3PLAND","EQ","25-Jul-2018","         13.80","         14.40","         14.40","         12.55","         13.90","         13.50","         13.03","       2323","               30259.15","         29","       1787","         76.93"
"3PLAND","EQ","26-Jul-2018","         13.50","         14.25","         14.25","         12.65","         13.85","         13.85","         13.56","        619","                8391.15","         30","        459","         74.15"
"3PLAND","EQ","27-Jul-2018","         13.85","         13.50","         13.95","         11.55","         13.90","         12.15","         13.01","       1887","               24549.25","         57","        959","         50.82"
"3PLAND","EQ","30-Jul-2018","         12.15","         12.40","         14.05","         12.10","         13.95","         13.95","         13.71","       4805","               65885.30","         71","       4382","         91.20"
"3PLAND","EQ","31-Jul-2018","         13.95","         15.50","         15.50","         11.20","         13.55","         13.55","         13.83","       2430","               33612.60","         52","       1633","         67.20"
"3PLAND","EQ","01-Aug-2018","         13.55","         14.00","         15.00","         13.05","         14.95","         14.95","         14.65","       9446","              138362.70","         51","       7689","         81.40"
"3PLAND","EQ","02-Aug-2018","         14.95","         13.20","         15.30","         13.20","         14.00","         14.00","         14.58","        711","               10367.00","         16","        628","         88.33"
"3PLAND","BE","03-Aug-2018","         14.00","         13.50","         13.50","         13.50","         13.50","         13.50","         13.50","         10","                 135.00","          1","-","-"
"3PLAND","BE","06-Aug-2018","         13.50","         12.90","         14.15","         12.90","         14.15","         14.15","         13.88","        757","               10508.00","          6","-","-"
"3PLAND","BE","07-Aug-2018","         14.15","         13.45","         14.35","         13.45","         14.00","         14.00","         13.80","        710","                9795.75","          9","-","-"
"3PLAND","BE","08-Aug-2018","         14.00","         13.35","         14.60","         13.35","         13.40","         13.40","         13.82","        892","               12327.70","          8","-","-"
"3PLAND","BE","09-Aug-2018","         13.40","         12.80","         14.05","         12.80","         14.05","         14.05","         13.09","        924","               12098.45","          6","-","-"
"3PLAND","BE","10-Aug-2018","         14.05","         13.35","         14.20","         13.35","         13.35","         13.40","         13.41","       1713","               22965.80","          9","-","-"
"3PLAND","BE","13-Aug-2018","         13.40","         12.80","         14.00","         12.80","         14.00","         14.00","         13.63","        601","                8194.00","          4","-","-"
"3PLAND","BE","14-Aug-2018","         14.00","         13.30","         13.30","         13.30","         13.30","         13.30","         13.30","         25","                 332.50","          1","-","-"
"3PLAND","BE","20-Aug-2018","         13.30","         12.65","         13.00","         12.65","         13.00","         13.00","         12.78","       4935","               63090.75","         20","-","-"
"3PLAND","BE","21-Aug-2018","         13.00","         12.55","         12.55","         12.35","         12.35","         12.35","         12.52","       1008","               12623.80","          3","-","-"
"3PLAND","BE","24-Aug-2018","         12.35","         12.35","         12.35","         11.75","         11.75","         12.00","         12.01","       2761","               33163.35","          9","-","-"
"3PLAND","BE","28-Aug-2018","         12.00","         12.00","         12.60","         12.00","         12.60","         12.60","         12.32","       1915","               23589.00","          9","-","-"
"3PLAND","BE","29-Aug-2018","         12.60","         12.10","         13.20","         12.05","         12.40","         12.40","         12.80","       4300","               55031.55","         14","-","-"
"3PLAND","BE","30-Aug-2018","         12.40","         12.90","         13.00","         12.90","         13.00","         13.00","         12.98","       1710","               22201.70","          8","-","-"
"3PLAND","BE","31-Aug-2018","         13.00","         12.35","         12.35","         12.35","         12.35","         12.35","         12.35","          3","                  37.05","          1","-","-"
"3PLAND","BE","03-Sep-2018","         12.35","         12.00","         12.00","         12.00","         12.00","         12.00","         12.00","         10","                 120.00","          1","-","-"
"3PLAND","BE","04-Sep-2018","         12.00","         12.60","         12.60","         12.05","         12.05","         12.05","         12.14","       1150","               13965.00","          4","-","-"
"3PLAND","BE","06-Sep-2018","         12.05","         12.65","         12.65","         12.65","         12.65","         12.65","         12.65","         20","                 253.00","          1","-","-"
"3PLAND","BE","07-Sep-2018","         12.65","         12.70","         13.25","         12.65","         12.65","         12.65","         12.93","       2139","               27650.35","         11","-","-"
"3PLAND","BE","10-Sep-2018","         12.65","         12.65","         13.20","         12.60","         12.60","         12.60","         12.81","       2070","               26510.05","          9","-","-"
"3PLAND","BE","11-Sep-2018","         12.60","         12.15","         12.35","         12.15","         12.35","         12.35","         12.25","       1000","               12250.00","          2","-","-"
"3PLAND","BE","12-Sep-2018","         12.35","         12.35","         12.35","         12.05","         12.05","         12.05","         12.05","       1100","               13255.60","          5","-","-"
"3PLAND","BE","18-Sep-2018","         12.05","         12.10","         12.65","         12.10","         12.65","         12.65","         12.64","         95","                1201.20","          2","-","-"
"3PLAND","BE","19-Sep-2018","         12.65","         12.65","         12.65","         12.05","         12.05","         12.05","         12.35","         16","                 197.60","          2","-","-"
"3PLAND","BE","21-Sep-2018","         12.05","         12.05","         12.05","         11.55","         11.55","         11.55","         11.58","        450","                5209.50","          2","-","-"
"3PLAND","BE","24-Sep-2018","         11.55","         11.55","         11.55","         11.50","         11.50","         11.50","         11.52","        800","                9215.00","          2","-","-"
"3PLAND","BE","25-Sep-2018","         11.50","         11.50","         11.50","         11.50","         11.50","         11.50","         11.50","        310","                3565.00","          4","-","-"
"3PLAND","BE","26-Sep-2018","         11.50","         11.45","         11.45","         11.45","         11.45","         11.45","         11.45","       2000","               22900.00","          1","-","-"
"3PLAND","BE","28-Sep-2018","         11.45","         11.45","         11.45","         11.45","         11.45","         11.45","         11.45","        217","                2484.65","          2","-","-"
"3PLAND","BE","04-Oct-2018","         11.45","         11.30","         11.45","         11.30","         11.45","         11.45","         11.30","       1577","               17827.15","          8","-","-"
"3PLAND","BE","12-Oct-2018","         11.45","         11.45","         11.45","         11.45","         11.45","         11.45","         11.45","        587","                6721.15","          2","-","-"
"3PLAND","BE","15-Oct-2018","         11.45","         11.00","         12.00","         11.00","         12.00","         12.00","         11.87","       1000","               11873.00","          3","-","-"
"3PLAND","BE","25-Oct-2018","         12.00","         11.40","         11.40","         11.40","         11.40","         11.40","         11.40","        500","                5700.00","          1","-","-"
"3PLAND","BE","26-Oct-2018","         11.40","         11.95","         11.95","         11.50","         11.50","         11.50","         11.94","        412","                4918.90","          6","-","-"
"3PLAND","BE","30-Oct-2018","         11.50","         11.45","         11.50","         11.45","         11.50","         11.50","         11.47","       1686","               19339.00","          5","-","-"
"3PLAND","BE","31-Oct-2018","         11.50","         11.50","         11.50","         11.50","         11.50","         11.50","         11.50","        603","                6934.50","          5","-","-"
"3PLAND","BE","01-Nov-2018","         11.50","         11.50","         12.05","         10.95","         11.50","         11.80","         11.89","       2312","               27492.75","         13","-","-"
"3PLAND","BE","02-Nov-2018","         11.80","         11.50","         11.50","         11.50","         11.50","         11.50","         11.50","       4000","               46000.00","          1","-","-"
"3PLAND","BE","06-Nov-2018","         11.50","         11.50","         11.50","         11.50","         11.50","         11.50","         11.50","        277","                3185.50","          1","-","-"
