SYMBOL, SERIES, DATE1, PREV_CLOSE, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, LAST_PRICE, CLOSE_PRICE, AVG_PRICE, TTL_TRD_QNTY, TURNOVER_LACS, NO_OF_TRADES, DELIV_QTY, DELIV_PER
EHFLNCD, N4, 30-Aug-2019, 1100.00, 1100.00, 1100.00, 1100.00, 1100.00, 1100.00, 1100.00, 70, 0.77, 2, 70, 100.00
EHFLNCD, N5, 30-Aug-2019, 803.00, 802.50, 820.00, 802.50, 803.00, 805.40, 811.36, 245, 1.99, 14, 185, 75.51
EHFLNCD, N6, 30-Aug-2019, 820.00, 807.00, 807.00, 807.00, 807.00, 807.00, 807.00, 50, 0.40, 1, 50, 100.00
EICHERMOT, EQ, 30-Aug-2019, 16538.00, 16563.80, 16666.00, 15967.05, 16260.00, 16258.45, 16313.77, 177460, 28950.41, 42975, 42200, 23.78
EIDPARRY, EQ, 30-Aug-2019, 153.50, 154.50, 155.00, 152.35, 154.10, 154.05, 153.86, 53988, 83.07, 1110, 40031, 74.15
EIFFL, SM, 30-Aug-2019, 90.00, 94.50, 94.50, 93.50, 94.20, 94.20, 94.03, 10400, 9.78, 7, 10400, 100.00
EIHAHOTELS, EQ, 30-Aug-2019, 293.25, 290.05, 305.00, 286.00, 290.05, 291.25, 295.81, 1199, 3.55, 66, 1152, 96.08
EIHOTEL, EQ, 30-Aug-2019, 159.50, 157.55, 163.90, 154.20, 158.40, 160.90, 159.75, 210322, 335.98, 3675, 108966, 51.81
EIMCOELECO, EQ, 30-Aug-2019, 282.70, 299.90, 299.90, 275.05, 276.10, 278.25, 278.86, 220, 0.61, 24, 135, 61.36
EKC, EQ, 30-Aug-2019, 19.05, 19.20, 19.45, 18.75, 18.90, 18.95, 18.99, 68475, 13.00, 212, 38849, 56.73
ELAND, EQ, 30-Aug-2019, 4.75, 4.55, 4.95, 4.55, 4.95, 4.80, 4.69, 9342, 0.44, 59, 7612, 81.48
ELECON, EQ, 30-Aug-2019, 29.60, 29.85, 30.60, 28.50, 30.15, 29.90, 29.43, 51013, 15.01, 998, 37325, 73.17
ELECTCAST, EQ, 30-Aug-2019, 15.05, 14.90, 15.25, 14.30, 14.45, 14.45, 14.54, 55809, 8.12, 338, 35529, 63.66
ELECTHERM, EQ, 30-Aug-2019, 152.75, 156.45, 159.60, 150.00, 155.00, 156.85, 154.75, 37603, 58.19, 850, 24068, 64.01
ELGIEQUIP, EQ, 30-Aug-2019, 244.50, 243.20, 247.70, 241.90, 246.05, 246.45, 244.04, 107963, 263.48, 356, 105098, 97.35
ELGIRUBCO, EQ, 30-Aug-2019, 16.75, 16.70, 17.30, 16.20, 17.30, 16.55, 16.51, 3074, 0.51, 36, 2922, 95.06
EMAMILTD, EQ, 30-Aug-2019, 296.55, 295.95, 300.95, 295.00, 296.50, 297.00, 297.31, 93131, 276.88, 3633, 51919, 55.75
EMAMIPAP, EQ, 30-Aug-2019, 74.95, 75.50, 76.00, 71.50, 76.00, 74.10, 73.30, 501, 0.37, 18, 480, 95.81
EMAMIREAL, EQ, 30-Aug-2019, 39.65, 40.10, 41.60, 40.05, 41.30, 41.10, 40.71, 15690, 6.39, 132, 13543, 86.32
EMBASSY, RR, 30-Aug-2019, 380.30, 382.99, 392.00, 381.10, 392.00, 391.54, 390.14, 378000, 1474.71, 631, 323600, 85.61
EMCO, BE, 30-Aug-2019, 1.25, 1.30, 1.30, 1.20, 1.25, 1.25, 1.25, 2435, 0.03, 12, -, -
EMKAY, EQ, 30-Aug-2019, 55.85, 56.00, 58.90, 55.55, 57.40, 56.80, 57.49, 30658, 17.63, 714, 10073, 32.86
EMMBI, EQ, 30-Aug-2019, 123.95, 122.80, 127.15, 121.05, 123.00, 123.55, 123.14, 2593, 3.19, 271, 1617, 62.36
EMOFSR1RGG, MF, 30-Aug-2019, 7.37, 7.43, 7.47, 7.43, 7.47, 7.45, 7.45, 13215, 0.98, 14, 13215, 100.00
ENDURANCE, EQ, 30-Aug-2019, 884.85, 884.80, 930.00, 884.80, 929.00, 925.90, 913.27, 20059, 183.19, 3086, 10723, 53.46
ENERGYDEV, EQ, 30-Aug-2019, 5.70, 5.50, 5.90, 5.50, 5.70, 5.70, 5.73, 10022, 0.57, 82, 8136, 81.18
ENGINERSIN, EQ, 30-Aug-2019, 105.90, 106.10, 107.70, 100.65, 102.65, 102.60, 104.13, 2546651, 2651.77, 11831, 656828, 25.79
ENIL, EQ, 30-Aug-2019, 359.10, 359.00, 364.00, 359.00, 360.00, 360.45, 360.15, 1694, 6.10, 62, 1614, 95.28
EON, EQ, 30-Aug-2019, 12.35, 12.50, 12.80, 12.05, 12.35, 12.30, 12.42, 9705, 1.20, 85, 6266, 64.56
EQ30, EQ, 30-Aug-2019, 310.00, 310.00, 310.00, 310.00, 310.00, 310.00, 310.00, 65, 0.20, 4, 50, 76.92
EQUITAS, EQ, 30-Aug-2019, 108.30, 108.00, 112.45, 107.35, 111.85, 112.15, 110.34, 2257675, 2491.04, 17493, 448582, 19.87
ERFLNCDI, N3, 30-Aug-2019, 1098.00, 895.00, 899.00, 878.40, 878.40, 878.40, 885.84, 5, 0.04, 3, 3, 60.00
ERFLNCDI, N4, 30-Aug-2019, 825.00, 859.00, 859.00, 859.00, 859.00, 859.00, 859.00, 100, 0.86, 1, 100, 100.00
ERFLNCDI, N5, 30-Aug-2019, 759.00, 731.80, 750.00, 731.80, 750.00, 750.00, 737.87, 75, 0.55, 3, 75, 100.00
ERIS, EQ, 30-Aug-2019, 374.60, 370.00, 381.90, 370.00, 375.55, 379.80, 377.82, 318629, 1203.83, 17052, 236442, 74.21
EROSMEDIA, EQ, 30-Aug-2019, 12.00, 12.00, 12.60, 12.00, 12.60, 12.60, 12.56, 288704, 36.27, 601, 223093, 77.27
ESABINDIA, EQ, 30-Aug-2019, 1002.45, 1000.10, 1040.00, 1000.00, 1040.00, 1029.35, 1019.43, 1676, 17.09, 470, 1088, 64.92
ESCORTS, EQ, 30-Aug-2019, 517.30, 517.20, 518.90, 502.05, 511.00, 510.20, 509.63, 2845748, 14502.75, 40302, 244550, 8.59
ESSARSHPNG, EQ, 30-Aug-2019, 6.85, 7.25, 7.25, 6.65, 7.00, 6.80, 6.93, 3589, 0.25, 33, 1886, 52.55
ESSELPACK, EQ, 30-Aug-2019, 98.30, 100.00, 108.10, 98.30, 108.10, 108.10, 104.57, 441857, 462.05, 4156, 310888, 70.36
ESTER, EQ, 30-Aug-2019, 31.65, 32.00, 32.00, 31.25, 31.70, 31.65, 31.58, 37782, 11.93, 223, 27801, 73.58
EUROCERA, BE, 30-Aug-2019, 0.60, 0.55, 0.55, 0.55, 0.55, 0.55, 0.55, 9650, 0.05, 10, -, -
EUROTEXIND, EQ, 30-Aug-2019, 10.75, 11.25, 11.25, 10.30, 11.25, 11.25, 10.70, 307, 0.03, 7, 230, 74.92
EVEREADY, EQ, 30-Aug-2019, 80.45, 79.60, 82.00, 79.60, 80.50, 80.65, 80.61, 31740, 25.59, 362, 26460, 83.36
EVERESTIND, EQ, 30-Aug-2019, 309.80, 311.65, 311.65, 282.20, 284.50, 288.30, 294.75, 140577, 414.36, 5124, 100927, 71.79
EXCEL, BE, 30-Aug-2019, 1.10, 1.15, 1.15, 1.15, 1.15, 1.15, 1.15, 1955, 0.02, 8, -, -
EXCELINDUS, EQ, 30-Aug-2019, 837.75, 830.00, 866.35, 830.00, 857.45, 851.35, 843.90, 7162, 60.44, 748, 3532, 49.32
EXIDEIND, EQ, 30-Aug-2019, 176.80, 177.65, 180.70, 176.20, 178.60, 178.55, 178.29, 833144, 1485.44, 9219, 249332, 29.93
EXPLEOSOL, EQ, 30-Aug-2019, 251.60, 250.55, 251.05, 245.05, 245.40, 245.75, 247.97, 3296, 8.17, 878, 2549, 77.34
FACT, EQ, 30-Aug-2019, 34.85, 35.10, 36.20, 34.45, 34.95, 35.00, 35.03, 56484, 19.78, 673, 20530, 36.35
FAIRCHEM, EQ, 30-Aug-2019, 488.20, 484.35, 506.95, 477.50, 480.00, 485.15, 487.10, 4210, 20.51, 339, 3131, 74.37
FCL, EQ, 30-Aug-2019, 24.25, 24.85, 24.95, 24.15, 24.45, 24.25, 24.47, 73267, 17.93, 812, 38854, 53.03
FCONSUMER, EQ, 30-Aug-2019, 27.50, 27.50, 28.00, 26.50, 27.35, 27.85, 27.34, 1119151, 305.93, 4114, 728196, 65.07
FCSSOFT, BE, 30-Aug-2019, 0.25, 0.25, 0.25, 0.20, 0.25, 0.25, 0.24, 810673, 1.95, 272, -, -
FDC, EQ, 30-Aug-2019, 160.50, 160.05, 161.80, 160.05, 161.80, 161.30, 161.19, 10828, 17.45, 283, 9061, 83.68
FEDERALBNK, EQ, 30-Aug-2019, 80.40, 80.95, 83.35, 80.15, 82.85, 82.90, 81.79, 11922234, 9751.01, 35174, 4854024, 40.71
FEL, EQ, 30-Aug-2019, 24.40, 25.00, 25.65, 24.25, 24.60, 24.60, 24.88, 103237, 25.69, 594, 53895, 52.21
FELDVR, EQ, 30-Aug-2019, 24.65, 27.40, 29.30, 24.35, 26.00, 26.00, 27.23, 17034, 4.64, 129, 11403, 66.94
FIEMIND, EQ, 30-Aug-2019, 368.95, 373.05, 384.00, 366.65, 381.85, 380.25, 375.18, 4039, 15.15, 517, 2093, 51.82
FILATEX, EQ, 30-Aug-2019, 35.80, 35.55, 37.00, 35.55, 36.65, 36.10, 36.21, 64247, 23.27, 1006, 39728, 61.84
FINCABLES, EQ, 30-Aug-2019, 363.30, 364.90, 368.40, 359.05, 367.90, 367.20, 363.12, 24664, 89.56, 1793, 15206, 61.65
FINEORG, EQ, 30-Aug-2019, 1416.70, 1405.50, 1449.65, 1405.50, 1425.00, 1432.10, 1432.01, 2266, 32.45, 377, 1498, 66.11
FINPIPE, EQ, 30-Aug-2019, 506.40, 505.25, 511.95, 501.35, 503.20, 503.60, 504.16, 16795, 84.67, 1917, 9823, 58.49
FLEXITUFF, EQ, 30-Aug-2019, 12.00, 12.70, 12.70, 11.20, 12.50, 12.45, 12.19, 655, 0.08, 25, 594, 90.69
FLFL, EQ, 30-Aug-2019, 431.50, 430.00, 434.25, 425.00, 425.20, 426.80, 429.02, 58923, 252.79, 619, 55484, 94.16
FMGOETZE, EQ, 30-Aug-2019, 507.65, 518.45, 540.00, 508.95, 540.00, 537.25, 527.56, 14124, 74.51, 1433, 8468, 59.95
FMNL, EQ, 30-Aug-2019, 27.40, 28.50, 28.50, 26.80, 28.40, 28.35, 28.05, 2910, 0.82, 61, 2509, 86.22
FOCUS, SM, 30-Aug-2019, 47.00, 44.70, 48.40, 44.70, 48.40, 48.40, 46.55, 6000, 2.79, 2, 6000, 100.00
FORCEMOT, EQ, 30-Aug-2019, 1218.70, 1224.30, 1245.00, 1200.00, 1213.10, 1214.35, 1217.29, 10739, 130.72, 1849, 3315, 30.87
FORTIS, EQ, 30-Aug-2019, 122.25, 122.25, 125.30, 120.35, 123.90, 124.15, 122.97, 466877, 574.10, 4461, 248689, 53.27
FOSECOIND, EQ, 30-Aug-2019, 1185.70, 1214.40, 1248.00, 1190.10, 1230.00, 1227.70, 1224.71, 1161, 14.22, 218, 765, 65.89
FRETAIL, EQ, 30-Aug-2019, 394.55, 394.60, 400.00, 388.30, 393.60, 394.70, 391.88, 998908, 3914.47, 12577, 744363, 74.52
FSC, EQ, 30-Aug-2019, 551.70, 564.45, 564.45, 547.00, 548.20, 551.60, 555.26, 5513, 30.61, 233, 4644, 84.24
FSL, EQ, 30-Aug-2019, 47.85, 47.90, 48.65, 47.65, 48.25, 48.30, 48.13, 597664, 287.63, 3968, 269285, 45.06
GABRIEL, EQ, 30-Aug-2019, 103.30, 106.90, 106.90, 95.75, 103.00, 103.95, 103.33, 41704, 43.09, 1358, 19706, 47.25
GAEL, EQ, 30-Aug-2019, 142.90, 143.10, 144.95, 140.35, 143.00, 143.65, 143.08, 10502, 15.03, 365, 4560, 43.42
GAIL, EQ, 30-Aug-2019, 128.50, 129.65, 133.10, 125.20, 130.05, 129.80, 129.57, 12497894, 16193.04, 71269, 5249523, 42.00
GAL, EQ, 30-Aug-2019, 2.95, 2.90, 3.00, 2.80, 2.90, 2.95, 2.89, 8592, 0.25, 56, 6432, 74.86
GALAXYSURF, EQ, 30-Aug-2019, 1277.45, 1280.80, 1305.10, 1278.00, 1281.00, 1300.85, 1298.72, 20150, 261.69, 1310, 15009, 74.49
GALLANTT, EQ, 30-Aug-2019, 24.80, 26.10, 29.30, 25.00, 27.95, 28.15, 27.56, 4977, 1.37, 101, 3616, 72.65
GALLISPAT, EQ, 30-Aug-2019, 16.80, 16.35, 18.45, 16.35, 18.45, 18.45, 17.69, 10991, 1.94, 62, 8816, 80.21
GAMMNINFRA, EQ, 30-Aug-2019, 0.35, 0.35, 0.35, 0.30, 0.30, 0.30, 0.31, 870348, 2.70, 421, 600177, 68.96
GANDHITUBE, EQ, 30-Aug-2019, 307.20, 307.00, 308.40, 296.00, 299.90, 296.35, 299.70, 515, 1.54, 54, 351, 68.16
GANECOS, EQ, 30-Aug-2019, 245.75, 242.40, 254.00, 242.40, 246.50, 251.90, 249.40, 6012, 14.99, 236, 4720, 78.51
GANESHHOUC, EQ, 30-Aug-2019, 36.50, 36.10, 38.00, 34.25, 36.50, 36.25, 36.26, 20857, 7.56, 288, 10471, 50.20
GANGESSECU, EQ, 30-Aug-2019, 35.00, 35.25, 38.75, 35.00, 37.00, 36.95, 35.48, 11806, 4.19, 26, 10606, 89.84
GANGOTRI, BZ, 30-Aug-2019, 0.35, 0.35, 0.35, 0.35, 0.35, 0.35, 0.35, 510, 0.00, 2, -, -
GARDENSILK, EQ, 30-Aug-2019, 9.60, 10.05, 10.10, 9.40, 9.75, 9.50, 9.56, 2590, 0.25, 47, 2308, 89.11
GARFIBRES, EQ, 30-Aug-2019, 1026.80, 1029.05, 1058.35, 1020.00, 1050.00, 1051.30, 1041.21, 2401, 25.00, 303, 1968, 81.97
GATI, EQ, 30-Aug-2019, 39.85, 40.10, 42.30, 38.90, 41.90, 41.55, 40.51, 375575, 152.15, 2847, 155334, 41.36
GAYAHWS, EQ, 30-Aug-2019, 0.45, 0.45, 0.45, 0.40, 0.40, 0.40, 0.40, 794292, 3.19, 148, 724277, 91.19
GAYAPROJ, EQ, 30-Aug-2019, 108.20, 108.55, 109.80, 103.30, 106.00, 106.85, 106.85, 1057907, 1130.37, 2273, 981990, 92.82
GDL, EQ, 30-Aug-2019, 96.40, 95.25, 98.60, 95.25, 98.20, 98.10, 97.60, 27362, 26.71, 808, 13593, 49.68
GEECEE, EQ, 30-Aug-2019, 83.40, 82.00, 82.00, 78.55, 79.50, 79.90, 80.21, 1820, 1.46, 116, 1438, 79.01
GENESYS, EQ, 30-Aug-2019, 79.35, 82.85, 83.50, 78.40, 79.05, 79.50, 80.36, 21732, 17.46, 435, 13126, 60.40
GENUSPAPER, EQ, 30-Aug-2019, 4.50, 4.20, 4.60, 4.20, 4.50, 4.50, 4.49, 31673, 1.42, 97, 28961, 91.44
GENUSPOWER, EQ, 30-Aug-2019, 20.95, 20.80, 21.75, 20.50, 20.60, 20.70, 20.87, 80911, 16.89, 372, 31845, 39.36
GEOJITFSL, EQ, 30-Aug-2019, 25.25, 25.00, 26.00, 24.95, 25.80, 25.65, 25.37, 42089, 10.68, 277, 32060, 76.17
GEPIL, EQ, 30-Aug-2019, 779.70, 775.00, 786.05, 762.00, 763.05, 767.75, 770.71, 9586, 73.88, 1167, 6184, 64.51
GESHIP, EQ, 30-Aug-2019, 239.95, 238.40, 241.95, 236.30, 239.50, 239.90, 238.18, 16425, 39.12, 880, 10723, 65.28
GET&D, EQ, 30-Aug-2019, 150.50, 150.50, 153.70, 150.00, 151.85, 150.55, 150.58, 15685, 23.62, 714, 12150, 77.46
GFLLIMITED, EQ, 30-Aug-2019, 42.80, 44.90, 44.90, 44.90, 44.90, 44.90, 44.90, 6308, 2.83, 72, 6308, 100.00
GFSTEELS, BE, 30-Aug-2019, 2.00, 2.10, 2.10, 2.10, 2.10, 2.10, 2.10, 718, 0.02, 2, -, -
GHCL, EQ, 30-Aug-2019, 193.80, 193.55, 195.35, 191.00, 192.50, 192.30, 192.52, 34019, 65.49, 768, 18261, 53.68
GICHSGFIN, EQ, 30-Aug-2019, 175.60, 173.50, 176.95, 170.00, 171.80, 171.55, 172.26, 39057, 67.28, 1377, 17210, 44.06
GICRE, EQ, 30-Aug-2019, 169.10, 169.10, 185.60, 168.05, 181.05, 178.65, 175.12, 76841, 134.56, 2659, 50800, 66.11
GILLANDERS, EQ, 30-Aug-2019, 30.80, 30.00, 32.60, 28.05, 29.50, 29.50, 30.16, 1825, 0.55, 62, 437, 23.95
GILLETTE, EQ, 30-Aug-2019, 7106.65, 7168.95, 7325.00, 7165.00, 7308.60, 7299.15, 7243.22, 7636, 553.09, 2356, 4350, 56.97
GINNIFILA, EQ, 30-Aug-2019, 7.95, 8.05, 8.25, 8.00, 8.25, 8.15, 8.15, 28711, 2.34, 148, 16350, 56.95
GIPCL, EQ, 30-Aug-2019, 68.30, 68.65, 68.80, 66.95, 68.25, 68.00, 68.02, 85234, 57.98, 653, 67205, 78.85
GKWLIMITED, EQ, 30-Aug-2019, 709.50, 686.60, 686.65, 686.55, 686.65, 686.65, 686.60, 16, 0.11, 6, 13, 81.25
GLAXO, EQ, 30-Aug-2019, 1192.25, 1193.50, 1222.00, 1190.00, 1213.00, 1215.20, 1210.06, 62058, 750.94, 3294, 57785, 93.11
GLENMARK, EQ, 30-Aug-2019, 383.15, 384.90, 391.75, 379.80, 387.10, 384.30, 385.82, 1328650, 5126.23, 29843, 426447, 32.10
GLOBAL, SM, 30-Aug-2019, 83.75, 95.00, 95.00, 95.00, 95.00, 95.00, 95.00, 3000, 2.85, 3, 3000, 100.00
GLOBALVECT, EQ, 30-Aug-2019, 57.30, 58.00, 59.50, 55.15, 59.45, 58.85, 58.41, 7290, 4.26, 323, 5473, 75.08
GLOBOFFS, EQ, 30-Aug-2019, 6.15, 6.40, 6.40, 6.15, 6.15, 6.15, 6.37, 15540, 0.99, 15, 14684, 94.49
GLOBUSSPR, EQ, 30-Aug-2019, 104.50, 104.20, 109.95, 104.15, 107.45, 107.35, 108.26, 81587, 88.33, 1414, 28287, 34.67
GMBREW, EQ, 30-Aug-2019, 353.00, 354.90, 361.40, 350.00, 352.00, 351.80, 353.74, 11805, 41.76, 538, 6717, 56.90
GMDCLTD, EQ, 30-Aug-2019, 63.40, 63.45, 64.60, 63.20, 63.75, 64.05, 63.95, 38452, 24.59, 681, 21601, 56.18
GMMPFAUDLR, EQ, 30-Aug-2019, 1500.70, 1502.00, 1506.95, 1471.10, 1477.90, 1474.35, 1480.33, 6334, 93.76, 496, 4831, 76.27
GMRINFRA, EQ, 30-Aug-2019, 15.10, 15.15, 15.35, 14.90, 15.05, 15.05, 15.12, 11954037, 1807.54, 5433, 2605779, 21.80
GNA, EQ, 30-Aug-2019, 225.90, 229.90, 229.90, 223.25, 225.60, 225.65, 225.49, 10595, 23.89, 893, 4973, 46.94
GNFC, EQ, 30-Aug-2019, 176.65, 176.75, 182.40, 176.75, 178.80, 179.75, 179.55, 162400, 291.59, 6854, 58753, 36.18
GOACARBON, EQ, 30-Aug-2019, 219.05, 220.00, 224.70, 216.80, 217.55, 219.10, 220.20, 33198, 73.10, 1339, 10180, 30.66
GOCLCORP, EQ, 30-Aug-2019, 288.40, 299.80, 299.80, 270.55, 273.00, 274.65, 277.17, 7972, 22.10, 317, 6057, 75.98
GODFRYPHLP, EQ, 30-Aug-2019, 1026.15, 1033.90, 1047.00, 1018.60, 1023.90, 1024.70, 1031.98, 85568, 883.04, 4678, 17848, 20.86
GODREJAGRO, EQ, 30-Aug-2019, 448.80, 447.55, 455.00, 447.50, 449.40, 449.35, 449.61, 11962, 53.78, 1016, 6177, 51.64
GODREJCP, EQ, 30-Aug-2019, 600.40, 608.00, 612.10, 588.15, 609.50, 608.95, 599.83, 1242797, 7454.72, 37248, 740722, 59.60
GODREJIND, EQ, 30-Aug-2019, 422.65, 423.60, 425.95, 414.00, 419.90, 420.05, 419.93, 764745, 3211.42, 5950, 622858, 81.45
GODREJPROP, EQ, 30-Aug-2019, 900.20, 901.55, 905.70, 899.10, 901.50, 900.65, 901.69, 151283, 1364.11, 18150, 102837, 67.98
GOENKA, BZ, 30-Aug-2019, 0.25, 0.30, 0.30, 0.20, 0.25, 0.25, 0.25, 105673, 0.26, 36, -, -
GOKEX, EQ, 30-Aug-2019, 81.00, 80.45, 82.00, 79.05, 80.95, 79.90, 80.01, 28688, 22.95, 365, 22995, 80.16
GOKUL, BE, 30-Aug-2019, 12.45, 12.80, 12.80, 11.85, 12.60, 12.60, 12.56, 5367, 0.67, 30, -, -
GOKULAGRO, BE, 30-Aug-2019, 12.00, 12.50, 12.50, 11.40, 11.40, 11.95, 12.11, 7004, 0.85, 21, -, -
GOLDBEES, EQ, 30-Aug-2019, 3422.25, 3474.00, 3474.00, 3375.00, 3381.50, 3379.95, 3391.68, 28493, 966.39, 2455, 16163, 56.73
GOLDENTOBC, EQ, 30-Aug-2019, 28.20, 27.95, 29.10, 27.80, 28.50, 28.40, 28.29, 627, 0.18, 23, 387, 61.72
GOLDIAM, EQ, 30-Aug-2019, 95.20, 95.35, 97.00, 94.25, 96.75, 95.85, 95.71, 15099, 14.45, 541, 8019, 53.11
GOLDSHARE, EQ, 30-Aug-2019, 3461.65, 3449.00, 3456.00, 3435.10, 3449.00, 3442.75, 3448.17, 1332, 45.93, 168, 940, 70.57
GOLDTECH, EQ, 30-Aug-2019, 10.35, 10.70, 10.75, 10.15, 10.30, 10.45, 10.49, 4529, 0.47, 38, 2872, 63.41
GOODLUCK, EQ, 30-Aug-2019, 50.25, 51.00, 55.55, 50.15, 55.00, 54.30, 53.81, 19856, 10.68, 288, 13781, 69.40
GPIL, EQ, 30-Aug-2019, 132.35, 133.60, 137.00, 131.95, 135.00, 134.20, 134.21, 36227, 48.62, 1283, 15858, 43.77
GPPL, EQ, 30-Aug-2019, 78.45, 78.15, 79.00, 77.75, 77.80, 78.30, 78.38, 51144, 40.09, 1553, 48077, 94.00
GPTINFRA, EQ, 30-Aug-2019, 38.45, 35.80, 37.95, 35.00, 35.00, 35.70, 35.72, 7959, 2.84, 315, 2259, 28.38
GRANULES, EQ, 30-Aug-2019, 90.95, 91.00, 91.60, 89.50, 90.20, 90.45, 90.41, 249990, 226.02, 4109, 116671, 46.67
GRAPHITE, EQ, 30-Aug-2019, 273.75, 275.00, 280.90, 265.55, 267.40, 268.60, 270.63, 869040, 2351.92, 36259, 391889, 45.09
GRASIM, EQ, 30-Aug-2019, 708.85, 713.00, 716.00, 699.05, 710.10, 710.95, 707.23, 1418816, 10034.28, 38871, 384954, 27.13
GRAVITA, EQ, 30-Aug-2019, 42.35, 42.25, 43.75, 41.30, 41.60, 41.70, 42.73, 28616, 12.23, 776, 20256, 70.79
GREAVESCOT, EQ, 30-Aug-2019, 123.30, 124.70, 124.70, 120.15, 121.00, 121.05, 121.61, 87252, 106.10, 1720, 45006, 51.58
GREENLAM, EQ, 30-Aug-2019, 756.10, 741.00, 781.00, 741.00, 751.05, 769.45, 764.19, 218, 1.67, 34, 153, 70.18
GREENPLY, EQ, 30-Aug-2019, 141.40, 141.50, 141.55, 134.00, 138.00, 139.65, 138.28, 40717, 56.30, 1897, 18176, 44.64
GREENPOWER, EQ, 30-Aug-2019, 2.45, 2.40, 2.50, 2.35, 2.50, 2.50, 2.45, 53965, 1.32, 45, 39904, 73.94
GRINDWELL, EQ, 30-Aug-2019, 545.00, 545.00, 567.00, 541.10, 549.35, 558.90, 557.96, 17439, 97.30, 1013, 11205, 64.25
GROBTEA, EQ, 30-Aug-2019, 258.90, 272.05, 275.00, 264.30, 271.60, 271.60, 271.51, 406, 1.10, 24, 247, 60.84
GRPLTD, EQ, 30-Aug-2019, 882.05, 900.05, 920.00, 845.00, 919.95, 916.35, 884.20, 127, 1.12, 55, 75, 59.06
GRSE, EQ, 30-Aug-2019, 132.50, 132.95, 134.65, 130.60, 132.15, 133.20, 131.13, 482731, 633.01, 2255, 435043, 90.12
GRUH, EQ, 30-Aug-2019, 249.60, 266.50, 269.70, 255.55, 257.40, 258.10, 261.34, 4739537, 12386.32, 66226, 1684058, 35.53
GSCLCEMENT, EQ, 30-Aug-2019, 17.65, 17.20, 17.80, 17.20, 17.65, 17.60, 17.63, 8767, 1.55, 66, 6855, 78.19
GSFC, EQ, 30-Aug-2019, 74.40, 74.50, 76.50, 73.65, 76.00, 76.05, 75.48, 541150, 408.45, 10507, 187408, 34.63
GSKCONS, EQ, 30-Aug-2019, 7874.90, 7930.60, 8135.00, 7887.10, 8090.00, 8102.25, 7993.60, 15677, 1253.16, 4787, 10606, 67.65
GSPL, EQ, 30-Aug-2019, 219.95, 220.75, 222.30, 218.25, 219.50, 219.85, 220.26, 352364, 776.13, 14723, 259977, 73.78
GSS, EQ, 30-Aug-2019, 34.60, 35.75, 35.90, 33.25, 33.95, 33.85, 34.32, 15406, 5.29, 262, 10815, 70.20
GTL, EQ, 30-Aug-2019, 2.40, 2.30, 2.45, 2.25, 2.40, 2.35, 2.31, 47311, 1.09, 61, 32331, 68.34
GTLINFRA, EQ, 30-Aug-2019, 0.50, 0.50, 0.55, 0.45, 0.55, 0.55, 0.51, 1764527, 9.02, 278, 1145223, 64.90
GTNIND, EQ, 30-Aug-2019, 5.90, 5.90, 6.25, 5.80, 5.80, 5.80, 5.94, 3965, 0.24, 31, 3624, 91.40
GTNTEX, EQ, 30-Aug-2019, 6.65, 6.95, 6.95, 6.20, 6.50, 6.50, 6.71, 2394, 0.16, 22, 1306, 54.55
GTPL, EQ, 30-Aug-2019, 73.70, 74.00, 74.80, 73.00, 74.00, 73.50, 73.85, 14766, 10.90, 318, 9991, 67.66
GUFICBIO, EQ, 30-Aug-2019, 61.70, 61.45, 63.45, 61.45, 62.25, 62.55, 62.53, 20663, 12.92, 506, 14395, 69.67
GUJALKALI, EQ, 30-Aug-2019, 386.30, 389.60, 392.80, 384.50, 388.00, 387.55, 387.25, 23655, 91.60, 1338, 9577, 40.49
GUJAPOLLO, EQ, 30-Aug-2019, 119.00, 118.10, 118.65, 116.65, 118.15, 118.15, 117.56, 207, 0.24, 23, 140, 67.63
GUJGASLTD, EQ, 30-Aug-2019, 177.10, 177.80, 180.00, 176.15, 178.60, 178.15, 177.96, 82329, 146.52, 1770, 33354, 40.51
GUJRAFFIA, BE, 30-Aug-2019, 8.60, 8.60, 9.00, 8.20, 9.00, 9.00, 8.52, 622, 0.05, 6, -, -
GULFOILLUB, EQ, 30-Aug-2019, 830.35, 820.00, 864.50, 820.00, 864.50, 861.80, 858.56, 23989, 205.96, 1795, 16959, 70.69
GULFPETRO, EQ, 30-Aug-2019, 33.95, 35.15, 35.15, 32.55, 33.50, 33.35, 33.56, 14039, 4.71, 188, 10243, 72.96
GULPOLY, EQ, 30-Aug-2019, 45.05, 44.00, 47.65, 43.00, 46.55, 46.75, 46.26, 18843, 8.72, 275, 11662, 61.89
GVKPIL, EQ, 30-Aug-2019, 4.30, 4.30, 4.45, 4.30, 4.40, 4.40, 4.38, 899342, 39.37, 735, 503842, 56.02
HAL, EQ, 30-Aug-2019, 650.40, 652.00, 654.95, 638.50, 651.50, 650.05, 645.83, 5670, 36.62, 733, 3594, 63.39
HARITASEAT, EQ, 30-Aug-2019, 420.00, 416.90, 434.95, 410.00, 416.20, 425.00, 416.88, 1633, 6.81, 271, 1214, 74.34
HARRMALAYA, EQ, 30-Aug-2019, 47.65, 48.50, 54.80, 47.60, 51.00, 50.65, 52.12, 119160, 62.10, 2630, 24232, 20.34
