SYMBOL, SERIES, DATE1, PREV_CLOSE, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, LAST_PRICE, CLOSE_PRICE, AVG_PRICE, TTL_TRD_QNTY, TURNOVER_LACS, NO_OF_TRADES, DELIV_QTY, DELIV_PER
BUTTERFLY, EQ, 30-Aug-2019, 147.90, 147.90, 149.85, 145.55, 146.30, 147.85, 147.35, 7798, 11.49, 288, 4450, 57.07
BVCL, BE, 30-Aug-2019, 14.50, 14.50, 15.05, 13.80, 15.05, 14.35, 14.11, 466, 0.07, 9, -, -
BYKE, EQ, 30-Aug-2019, 16.55, 16.95, 16.95, 16.00, 16.60, 16.75, 16.46, 8195, 1.35, 92, 6243, 76.18
CADILAHC, EQ, 30-Aug-2019, 219.80, 220.80, 226.40, 219.00, 225.80, 225.25, 224.10, 1195227, 2678.56, 13450, 387567, 32.43
CALSOFT, EQ, 30-Aug-2019, 14.45, 13.50, 14.35, 13.05, 13.05, 13.05, 13.08, 32138, 4.20, 138, 28961, 90.11
CAMLINFINE, EQ, 30-Aug-2019, 55.10, 55.10, 56.30, 54.05, 54.80, 55.40, 55.58, 50503, 28.07, 450, 34441, 68.20
CANBK, EQ, 30-Aug-2019, 220.60, 222.15, 224.65, 216.75, 220.15, 220.60, 220.40, 7895383, 17401.76, 56127, 811785, 10.28
CANDC, BZ, 30-Aug-2019, 4.55, 4.55, 4.55, 4.55, 4.55, 4.55, 4.55, 39, 0.00, 4, -, -
CANFINHOME, EQ, 30-Aug-2019, 398.85, 398.85, 415.00, 395.00, 411.10, 412.95, 407.27, 441523, 1798.20, 9592, 218029, 49.38
CANTABIL, EQ, 30-Aug-2019, 222.55, 223.00, 224.30, 217.25, 219.00, 218.95, 221.09, 19063, 42.15, 278, 11361, 59.60
CAPACITE, EQ, 30-Aug-2019, 194.45, 195.60, 204.55, 195.55, 201.00, 201.20, 199.93, 128336, 256.58, 2810, 70537, 54.96
CAPLIPOINT, EQ, 30-Aug-2019, 414.00, 416.35, 433.00, 410.05, 427.00, 427.35, 422.26, 24746, 104.49, 1448, 15721, 63.53
CAPTRUST, BE, 30-Aug-2019, 79.55, 82.75, 82.85, 76.00, 76.05, 80.85, 81.95, 2014, 1.65, 47, -, -
CARBORUNIV, EQ, 30-Aug-2019, 281.95, 277.00, 288.10, 277.00, 283.85, 282.60, 282.43, 19106, 53.96, 1082, 13061, 68.36
CAREERP, EQ, 30-Aug-2019, 75.60, 75.00, 76.00, 72.25, 76.00, 74.80, 73.96, 20308, 15.02, 250, 12465, 61.38
CARERATING, EQ, 30-Aug-2019, 532.95, 538.00, 546.00, 529.55, 538.10, 538.00, 537.04, 21959, 117.93, 1801, 13727, 62.51
CASTEXTECH, EQ, 30-Aug-2019, 0.55, 0.50, 0.60, 0.50, 0.50, 0.55, 0.55, 43600, 0.24, 55, 43499, 99.77
CASTROLIND, EQ, 30-Aug-2019, 121.65, 121.05, 123.80, 121.05, 123.00, 122.85, 122.71, 589330, 723.17, 8285, 214086, 36.33
CCHHL, EQ, 30-Aug-2019, 3.85, 3.85, 4.00, 3.75, 4.00, 4.00, 3.97, 17663, 0.70, 56, 16860, 95.45
CCL, EQ, 30-Aug-2019, 238.10, 237.05, 239.30, 234.00, 235.00, 235.70, 236.12, 31292, 73.89, 6510, 23867, 76.27
CDSL, EQ, 30-Aug-2019, 193.40, 194.00, 201.25, 193.00, 195.00, 195.35, 197.44, 251007, 495.59, 4448, 110471, 44.01
CEATLTD, EQ, 30-Aug-2019, 911.70, 915.70, 918.00, 899.65, 907.30, 907.30, 909.37, 92252, 838.91, 5081, 13351, 14.47
CEBBCO, EQ, 30-Aug-2019, 13.45, 13.45, 14.00, 13.35, 14.00, 13.75, 13.75, 7014, 0.96, 47, 5013, 71.47
CELEBRITY, EQ, 30-Aug-2019, 7.15, 7.05, 7.40, 6.85, 6.85, 6.90, 6.96, 4526, 0.31, 38, 4253, 93.97
CELESTIAL, EQ, 30-Aug-2019, 3.10, 3.00, 3.25, 3.00, 3.15, 3.15, 3.11, 31932, 0.99, 47, 22751, 71.25
CENTENKA, EQ, 30-Aug-2019, 182.05, 182.05, 184.60, 178.35, 184.10, 183.45, 182.66, 5433, 9.92, 315, 2190, 40.31
CENTEXT, EQ, 30-Aug-2019, 2.65, 2.60, 2.70, 2.60, 2.65, 2.70, 2.63, 15192, 0.40, 55, 9521, 62.67
CENTRALBK, EQ, 30-Aug-2019, 18.95, 19.05, 20.10, 18.90, 19.90, 19.75, 19.63, 1054497, 206.99, 4104, 466593, 44.25
CENTRUM, EQ, 30-Aug-2019, 26.45, 26.95, 28.45, 26.35, 26.50, 27.25, 27.03, 240950, 65.14, 1794, 159637, 66.25
CENTUM, EQ, 30-Aug-2019, 381.35, 380.00, 380.00, 365.00, 367.00, 367.10, 372.79, 1142, 4.26, 201, 770, 67.43
CENTURYPLY, EQ, 30-Aug-2019, 132.85, 132.95, 136.75, 132.00, 134.80, 135.60, 134.64, 56952, 76.68, 2889, 25736, 45.19
CENTURYTEX, EQ, 30-Aug-2019, 840.15, 843.00, 859.00, 840.15, 853.00, 851.55, 850.90, 479224, 4077.74, 15466, 54385, 11.35
CERA, EQ, 30-Aug-2019, 2512.90, 2475.50, 2504.90, 2411.00, 2411.00, 2438.75, 2450.39, 5624, 137.81, 1634, 2977, 52.93
CEREBRAINT, EQ, 30-Aug-2019, 25.05, 24.75, 25.45, 24.25, 24.80, 25.20, 24.93, 100206, 24.98, 469, 62357, 62.23
CES1RPG, MF, 30-Aug-2019, 9.50, 9.27, 9.50, 8.70, 9.50, 9.50, 9.03, 40001, 3.61, 15, 40001, 100.00
CESC, EQ, 30-Aug-2019, 756.70, 760.45, 780.00, 760.00, 778.50, 774.50, 771.77, 403306, 3112.60, 23481, 170587, 42.30
CESCVENT, EQ, 30-Aug-2019, 348.85, 345.00, 353.00, 331.00, 332.60, 334.95, 339.60, 15132, 51.39, 677, 11204, 74.04
CGCL, EQ, 30-Aug-2019, 151.90, 155.00, 155.00, 151.25, 152.90, 152.75, 152.66, 346961, 529.67, 4032, 43582, 12.56
CGPOWER, EQ, 30-Aug-2019, 10.00, 10.50, 10.50, 10.50, 10.50, 10.50, 10.50, 236159, 24.80, 359, 236159, 100.00
CHALET, EQ, 30-Aug-2019, 294.95, 298.00, 310.00, 284.15, 300.00, 293.10, 289.65, 38846, 112.52, 5002, 24866, 64.01
CHAMBLFERT, EQ, 30-Aug-2019, 154.10, 153.40, 155.05, 153.00, 153.75, 154.90, 154.69, 112812, 174.51, 1134, 92092, 81.63
CHEMFAB, EQ, 30-Aug-2019, 160.05, 160.00, 161.50, 159.10, 160.00, 159.95, 159.94, 871, 1.39, 21, 790, 90.70
CHENNPETRO, EQ, 30-Aug-2019, 187.60, 185.45, 199.00, 185.25, 194.70, 192.85, 188.10, 208636, 392.44, 4704, 161265, 77.29
CHOLAFIN, EQ, 30-Aug-2019, 267.45, 269.10, 271.65, 263.05, 270.00, 268.70, 267.25, 747889, 1998.73, 16647, 339298, 45.37
CHOLAHLDNG, EQ, 30-Aug-2019, 442.45, 435.25, 454.00, 426.35, 450.30, 450.20, 438.71, 22951, 100.69, 1836, 8473, 36.92
CIGNITITEC, EQ, 30-Aug-2019, 281.75, 288.00, 302.75, 288.00, 298.00, 299.80, 295.26, 35774, 105.63, 1111, 23457, 65.57
CIMMCO, EQ, 30-Aug-2019, 17.45, 17.30, 18.40, 17.05, 17.55, 17.70, 17.54, 3295, 0.58, 42, 3137, 95.20
